file_name,image_id,num_boxes,unique_classes,top_classes
000000015335.jpg,15335,15,5,"person:11, couch:1, bowl:1, cup:1, cell phone:1"
000000016598.jpg,16598,3,3,"tie:1, cell phone:1, person:1"
000000017905.jpg,17905,3,3,"traffic light:1, fire hydrant:1, person:1"
000000018150.jpg,18150,7,5,"person:2, pizza:2, bottle:1, couch:1, backpack:1"
000000018193.jpg,18193,3,3,"chair:1, hot dog:1, person:1"
000000018770.jpg,18770,2,2,"tie:1, person:1"
000000019432.jpg,19432,15,4,"chair:12, person:1, tennis racket:1, sports ball:1"
000000019786.jpg,19786,6,4,"person:2, remote:2, couch:1, laptop:1"
000000019924.jpg,19924,2,2,"tie:1, person:1"
000000020333.jpg,20333,3,3,"tie:1, person:1, bowl:1"
000000021167.jpg,21167,4,3,"person:2, wine glass:1, tie:1"
000000021604.jpg,21604,2,2,"tie:1, person:1"
000000022371.jpg,22371,4,4,"tie:1, person:1, laptop:1, book:1"
000000022705.jpg,22705,5,5,"bottle:1, refrigerator:1, person:1, wine glass:1, bowl:1"
000000023034.jpg,23034,5,3,"horse:2, person:2, backpack:1"
000000025096.jpg,25096,6,6,"person:1, knife:1, zebra:1, skateboard:1, chair:1"
000000025386.jpg,25386,8,4,"person:3, chair:3, sandwich:1, hot dog:1"
000000025393.jpg,25393,9,3,"car:4, person:3, tie:2"
000000025394.jpg,25394,24,4,"bottle:13, wine glass:7, person:3, cup:1"
000000025424.jpg,25424,3,3,"sports ball:1, tennis racket:1, person:1"
000000025603.jpg,25603,23,6,"chair:11, dining table:4, person:4, cup:2, pizza:1"
000000027186.jpg,27186,4,3,"couch:2, person:1, remote:1"
000000032081.jpg,32081,2,2,"person:1, tennis racket:1"
000000032334.jpg,32334,10,4,"person:5, wine glass:3, chair:1, car:1"
000000032861.jpg,32861,2,2,"umbrella:1, person:1"
000000032887.jpg,32887,4,3,"person:2, cell phone:1, backpack:1"
000000032901.jpg,32901,21,7,"bottle:6, chair:5, person:5, dining table:2, tie:1"
000000033005.jpg,33005,2,2,"tennis racket:1, person:1"
000000033104.jpg,33104,9,3,"person:6, skis:2, bench:1"
000000033221.jpg,33221,18,5,"person:10, handbag:4, car:2, tennis racket:1, truck:1"
000000033368.jpg,33368,3,3,"sports ball:1, person:1, tennis racket:1"
000000033759.jpg,33759,5,5,"sports ball:1, person:1, baseball bat:1, car:1, truck:1"
000000034139.jpg,34139,4,3,"person:2, handbag:1, suitcase:1"
000000036539.jpg,36539,3,2,"person:2, snowboard:1"
000000036936.jpg,36936,22,9,"cup:10, book:3, person:2, remote:2, potted plant:1"
000000037988.jpg,37988,5,3,"person:3, sports ball:1, tennis racket:1"
000000038210.jpg,38210,3,2,"person:2, skis:1"
000000038678.jpg,38678,7,4,"person:4, sandwich:1, donut:1, cup:1"
000000039480.jpg,39480,2,2,"tennis racket:1, person:1"
000000039551.jpg,39551,3,3,"sports ball:1, person:1, tennis racket:1"
000000039914.jpg,39914,11,2,"person:10, kite:1"
000000039951.jpg,39951,5,3,"person:3, sports ball:1, tennis racket:1"
000000041990.jpg,41990,4,2,"person:3, skis:1"
000000042102.jpg,42102,3,3,"tie:1, handbag:1, person:1"
000000045550.jpg,45550,10,4,"person:7, sandwich:1, clock:1, bowl:1"
000000047585.jpg,47585,7,3,"person:5, umbrella:1, tie:1"
000000047801.jpg,47801,7,3,"person:5, spoon:1, cake:1"
000000048396.jpg,48396,7,6,"person:2, chair:1, dining table:1, cup:1, knife:1"
000000048564.jpg,48564,2,2,"cell phone:1, person:1"
000000050145.jpg,50145,11,4,"bicycle:4, person:4, umbrella:2, backpack:1"
000000050811.jpg,50811,9,7,"bottle:3, tie:1, person:1, bowl:1, remote:1"
000000051314.jpg,51314,2,2,"person:1, surfboard:1"
000000052591.jpg,52591,2,2,"person:1, skis:1"
000000054654.jpg,54654,2,2,"person:1, oven:1"
000000055528.jpg,55528,7,6,"remote:2, toothbrush:1, couch:1, person:1, book:1"
000000055950.jpg,55950,3,3,"sports ball:1, person:1, tennis racket:1"
000000058350.jpg,58350,6,4,"person:2, knife:2, couch:1, pizza:1"
000000058539.jpg,58539,11,3,"car:5, person:5, tie:1"
000000058705.jpg,58705,4,3,"person:2, tie:1, banana:1"
000000060102.jpg,60102,3,2,"person:2, sports ball:1"
000000060932.jpg,60932,17,3,"person:12, tie:4, dining table:1"
000000061747.jpg,61747,2,2,"person:1, skis:1"
000000062808.jpg,62808,14,7,"dining table:4, person:3, chair:2, knife:2, cell phone:1"
000000063047.jpg,63047,7,2,"person:6, cup:1"
000000064462.jpg,64462,2,2,"person:1, skis:1"
000000064718.jpg,64718,3,3,"sports ball:1, person:1, tennis racket:1"
000000064868.jpg,64868,6,5,"chair:2, dog:1, person:1, oven:1, bottle:1"
000000066771.jpg,66771,11,7,"cup:4, person:2, couch:1, dining table:1, cell phone:1"
000000066886.jpg,66886,1,1,person:1
000000067180.jpg,67180,2,2,"person:1, bench:1"
000000067534.jpg,67534,3,3,"tie:1, person:1, chair:1"
000000069213.jpg,69213,8,2,"person:7, motorcycle:1"
000000069224.jpg,69224,13,5,"chair:6, dining table:2, person:2, donut:2, bottle:1"
000000070739.jpg,70739,5,2,"person:3, wine glass:2"
000000072281.jpg,72281,2,2,"person:1, skateboard:1"
000000072813.jpg,72813,3,3,"dog:1, tv:1, bed:1"
000000073153.jpg,73153,2,2,"cell phone:1, person:1"
000000073533.jpg,73533,4,2,"cell phone:2, person:2"
000000073946.jpg,73946,5,3,"person:3, surfboard:1, bed:1"
000000074256.jpg,74256,13,6,"person:5, train:2, cell phone:2, handbag:2, bus:1"
000000075612.jpg,75612,20,3,"person:12, chair:5, remote:3"
000000076468.jpg,76468,25,3,"person:13, chair:10, tennis racket:2"
000000078843.jpg,78843,3,2,"person:2, tie:1"
000000079031.jpg,79031,2,2,"person:1, surfboard:1"
000000079969.jpg,79969,18,4,"person:13, chair:3, tennis racket:1, sports ball:1"
000000080153.jpg,80153,3,3,"dog:1, person:1, skis:1"
000000080273.jpg,80273,2,2,"person:1, snowboard:1"
000000080340.jpg,80340,20,7,"cup:8, person:7, tie:1, chair:1, dining table:1"
000000080671.jpg,80671,2,2,"skis:1, person:1"
000000081594.jpg,81594,3,3,"umbrella:1, person:1, handbag:1"
000000082688.jpg,82688,6,3,"person:3, remote:2, cell phone:1"
000000084674.jpg,84674,9,6,"person:3, couch:2, tv:1, clock:1, donut:1"
000000085157.jpg,85157,21,7,"person:7, cup:6, chair:4, dining table:1, bowl:1"
000000085329.jpg,85329,2,2,"person:1, tie:1"
000000086956.jpg,86956,6,4,"person:3, handbag:1, couch:1, baseball bat:1"
000000087144.jpg,87144,10,4,"bench:4, person:3, car:2, handbag:1"
000000087476.jpg,87476,13,3,"person:11, skateboard:1, surfboard:1"
000000088345.jpg,88345,3,2,"person:2, clock:1"
000000088485.jpg,88485,2,2,"person:1, frisbee:1"
000000088970.jpg,88970,3,3,"sports ball:1, person:1, tennis racket:1"
000000089078.jpg,89078,2,2,"person:1, snowboard:1"
000000089296.jpg,89296,6,3,"sports ball:3, person:2, baseball bat:1"
000000092091.jpg,92091,9,7,"chair:2, couch:2, tv:1, person:1, teddy bear:1"
000000092416.jpg,92416,8,4,"person:5, bottle:1, tie:1, boat:1"
000000092939.jpg,92939,14,6,"chair:5, person:3, wine glass:2, knife:2, cake:1"
000000096427.jpg,96427,4,2,"person:3, tennis racket:1"
000000096493.jpg,96493,3,3,"couch:1, person:1, remote:1"
000000097278.jpg,97278,2,2,"person:1, snowboard:1"
000000098853.jpg,98853,24,4,"person:13, chair:9, sports ball:1, tennis racket:1"
000000099182.jpg,99182,3,3,"bed:1, person:1, book:1"
000000100428.jpg,100428,4,2,"tie:2, person:2"
000000104424.jpg,104424,4,3,"sports ball:2, person:1, tennis racket:1"
000000108495.jpg,108495,2,2,"person:1, skateboard:1"
000000109118.jpg,109118,6,4,"person:3, baseball glove:1, sports ball:1, chair:1"
000000109313.jpg,109313,10,5,"book:4, remote:2, cup:2, couch:1, person:1"
000000110449.jpg,110449,4,3,"person:2, laptop:1, remote:1"
000000113720.jpg,113720,21,8,"person:5, pizza:4, cup:3, fork:3, dining table:2"
000000115898.jpg,115898,2,2,"person:1, surfboard:1"
000000117425.jpg,117425,7,5,"person:3, dining table:1, spoon:1, cake:1, cup:1"
000000117744.jpg,117744,2,2,"person:1, tennis racket:1"
000000118921.jpg,118921,3,2,"skis:2, person:1"
000000119911.jpg,119911,7,3,"car:5, person:1, skateboard:1"
000000119995.jpg,119995,6,2,"person:5, tennis racket:1"
000000121417.jpg,121417,13,5,"person:9, umbrella:1, handbag:1, cell phone:1, bench:1"
000000121673.jpg,121673,2,2,"person:1, surfboard:1"
000000123213.jpg,123213,16,5,"person:11, chair:2, baseball bat:1, baseball glove:1, bench:1"
000000123480.jpg,123480,4,3,"toothbrush:2, person:1, cell phone:1"
000000125129.jpg,125129,10,5,"chair:3, person:3, cell phone:2, dining table:1, book:1"
000000125472.jpg,125472,2,2,"person:1, skateboard:1"
000000125936.jpg,125936,29,4,"bottle:13, apple:6, banana:5, person:5"
000000126137.jpg,126137,15,3,"person:12, chair:2, tennis racket:1"
000000127263.jpg,127263,6,3,"car:3, person:2, frisbee:1"
000000127270.jpg,127270,9,5,"person:5, tennis racket:1, bench:1, chair:1, handbag:1"
000000127530.jpg,127530,3,3,"sports ball:1, person:1, tennis racket:1"
000000128748.jpg,128748,5,3,"person:3, baseball bat:1, baseball glove:1"
000000129492.jpg,129492,9,4,"person:3, book:3, remote:2, chair:1"
000000130579.jpg,130579,2,2,"person:1, baseball glove:1"
000000130586.jpg,130586,2,2,"person:1, kite:1"
000000130599.jpg,130599,1,1,person:1
000000130826.jpg,130826,9,3,"person:6, handbag:2, bench:1"
000000131444.jpg,131444,2,2,"tie:1, person:1"
000000133343.jpg,133343,2,2,"tie:1, person:1"
000000133418.jpg,133418,2,2,"person:1, tennis racket:1"
000000135604.jpg,135604,3,3,"sports ball:1, car:1, person:1"
000000136915.jpg,136915,9,5,"person:3, book:3, tie:1, baseball bat:1, chair:1"
000000137246.jpg,137246,17,6,"bench:5, umbrella:4, dining table:4, person:2, hot dog:1"
000000138115.jpg,138115,2,2,"person:1, orange:1"
000000139099.jpg,139099,29,10,"person:13, handbag:6, apple:3, motorcycle:1, bicycle:1"
